compound ,detected,source,solvent,,,,,,,,,,,,,,,,,,,,,,,,,
undecanoic acid,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetoxy-2-methoxyphenoxy)-3-hydroxypropan-1-one	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"acetylated coumaric acid or 1-(3,5-dimethoxy-4-acetoxyphenyl)-2-propene	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
s-a-s-b-s,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
acetylated isoeugenol,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 85,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 130,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 3,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"dibenzodioxicin	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
undecanoic acid,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
1-octanol,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"cis-1,2-cyclohexanediol	",1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 2048,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 293,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 290,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
undecanoic acid,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
1-octanol,1,Yerba Santa ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
vanillic acid,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"5-[(e)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol	",1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
coniferyl alcohol,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
diosmetin,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"(-)-epicatechin	",1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
boldine,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
syringin,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
biphenyl methane or lignin cw 294,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
methyl sinapate,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
dehydrodiveratric acid,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 285,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
ellipticine,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
atrazine,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
syringin,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"3-ureidopropionic acid	",1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
harmalol,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
syringin,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
picrotin,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
simvastatin,1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"6-hydroxy-1,4a-dimethyl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid	",1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"sodium (10,13-dimethyl-17-oxo-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-3-yl) sulfate	",1,Yerba Santa ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
