compound ,detected,source,solvent,,,,,,,,,,,,,,,,,,,,,,,,,
"(1e,6e)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione	",1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
bakuchiol,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 294,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
p-coumaraldehyde,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"3-(4-hydroxyphenyl)propionic acid	",1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
dihydro-sinapyl alcohol,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
bakuchiol,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 290,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
vanillic acid,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
sinapaldehyde,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 31,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
bakuchiol,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"2,3-dihydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one	",1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 281,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
9-fluorenone or diphenylacetic acid,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
G-5-O-4-G diacetate,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 3026,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 130 and 265 and 295,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
methyl jasmonate,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
ergocalciferol,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 2,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
adrenosterone,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
(+)-Pulegone,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
linoleic acid,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
adrenosterone,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
cuminaldehyde,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"cis-1,2-Cyclohexanediol",1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
21-hydroxyprogesterone,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 293,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
ergocalciferol,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 282 and 296,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
linoleic acid,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
G5O4G and lignin 287,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
G5O4G and lignin 287,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
chelidonic acid,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
coniferaldehyde,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 287,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one	",1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"5-hydroxy-2-(hydroxymethyl)pyran-4-one	",1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 293,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
syringaldehyde,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"(1e,6e)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione",1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
sinapaldehyde,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
methyl ferulate,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)chroman-4-one",1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
pterostilbene,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 292,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
dehydrodiveratric acid,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 292,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 293,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
tetrahydrobiopterin,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
cordycepin,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
schisandrin,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lapachol,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
harmalol,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
tanshinone iia,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
dopamine,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"6-hydroxy-1,4a-dimethyl-2,3,4,9,10,10a-hexahydrophenanthrene-1-carboxylic acid	",1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
haloperidol,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 288,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"daphnetin diacetate	",1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
genipin,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
cholesteryl sulfate,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
quadrone,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
bakuchiol,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 294,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
bakuchiol,1,Golden Currant Berry,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
9-fluorenone or diphenylacetic acid,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
undecanoic acid,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
4-acetoxybenzyl acetate or guaiacylglycerol-b-guaiacyl ether triacetate or phenyl acetate or acetylated eugenol,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
eucalyptol,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 2,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
delta-tocopherol,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
eucalyptol,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
cholesteryl palmitate,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
gamma-terpinene,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
G-5-O-4-G diacetate,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
alpha-pinene-oxide,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
biphenyl methane,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 282 and 296,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 289,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
delta-tocopherol,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 287,1,Golden Currant Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"5-hydroxy-2-(hydroxymethyl)pyran-4-one	",1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
coniferyl alcohol,1,Golden Currant Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
