Tag-date code, Genome sequenced,Cap date,Grid,Trap,Species,Tag1,Tag,recap?,FEC date,Initials,feces wt,no feces wt,Eimeria - sporulated,Eimeria - large,Eimeria - small,A. amer,S. pero,C. amer,Nem A,Nem B,Nem C,Tapeworm,Blastocystis,other,Notes,EPG-Eimeria,Eimeria y/n,EPG-Nematode,Nematode y/n,,Eim spor epg,Eim spor YN,Eim large epg,Eim large YN,Eim small epg,Eim small YN,Coccida epg,Coccidia YN,A. amer epg,A. amer YN,Nem A epg,Nem A YN,Nem C epg,Nem C YN,Nem YN,Blastocystis epg,Blastocystis YN
1607-43663,#N/A,7/17/19,RC1,A2,PM ,PM -43663,1607,#N/A,9/29/19,0.0701,0.1088,0,0,0,0,0,0,0,0,0,0,0,1,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.191176471,1
1511-43657,#N/A,7/11/19,NK1,D3,DA,DA-43657,1511,#N/A,1/31/20,1.6192,0.1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
943-43650,#N/A,7/4/19,HM2,E5,DA,DA-43650,943,#N/A,1/31/20,1.7639,0.2759,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1537-43686,#N/A,8/9/19,FH2,E5,DA,DA-43686,1537,#N/A,1/31/20,2.31,0.822,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.866180049,1
1505-43656,#N/A,7/10/19,FH2,A2,DA,DA-43656,1505,#N/A,2/6/20,1.566,0.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1503-43656,#N/A,7/10/19,FH1,A4,DA,DA-43656,1503,#N/A,2/6/20,1.7311,0.2431,1,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.113533525,1
1606-43647,#N/A,7/1/19,RC1,B3,DA,DA-43647,1606,#N/A,2/8/20,1.5651,0.0771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1508-43656,#N/A,7/10/19,FH2,D5,DA,DA-43656,1508,#N/A,2/12/20,1.575,0.087,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.49425287,1
1509-43648,#N/A,7/2/19,RC1,A2,DA,DA-43648,1509,#N/A,2/18/20,1.4895,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3969-43655,#N/A,7/9/19,FH1,C5,DA,DA-43655,3969,#N/A,2/21/20,2.0195,0.5315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1504-43656,#N/A,7/10/19,FH1,B5,DA,DA-43656,1504,#N/A,2/21/20,1.944,0.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1521-43669,#N/A,7/23/19,HM1,E1,PM ,PM -43669,1521,#N/A,10/11/19,,0.0674,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1514-43662,#N/A,7/16/19,RC2,E1,DA,DA-43662,1514,#N/A,11/2/19,,0.2527,,0,0,0,0,0,0,0,0,0,0,0,1 ukn,,0,0,0,0,,,0,,,,0,,0,,0,0,0,0,0,0,0,0
1512-43662,#N/A,7/16/19,RC1,B2,DA,DA-43662,1512,#N/A,11/2/19,,0.274,,0,0,0,0,0,0,0,0,0,0,17,0,,0,0,0,0,,,0,,,,,,0,,,,,0,0,0,62.04379562,1
1513-43662,#N/A,7/16/19,RC2,D5,DA,DA-43662,1513,#N/A,11/2/19,,0.1957,,0,0,0,0,0,0,0,0,0,0,0,1 ukn,,0,0,0,0,,,0,,,,,,,,,,,,0,0,,0
1512-43663,#N/A,7/17/19,RC1,B4,DA,DA-43663,1512,#N/A,11/2/19,,0.213,,0,0,0,0,0,0,0,0,0,0,2,0,,0,0,0,0,,,0,,,,,,,,,,,,,0,,
1523-43683,#N/A,8/6/19,HM2,D4,DA,DA-43683,1523,#N/A,11/5/19,,0.1744,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,,,,,,,,,,,,,,,
1614-43669,#N/A,7/23/19,HM2,C3,DA,DA-43669,1614,#N/A,11/5/19,,0.434,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,
1522-43669,#N/A,7/23/19,HM2,B1,DA,DA-43669,1522,#N/A,11/5/19,,0.5932,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,
1615-43683,#N/A,8/6/19,HM2,A2,DA,DA-43683,1615,#N/A,11/10/19,,0.3029,,0,0,0,0,0,0,0,0,0,0,1,0,photo-001,0,0,0,0,,,,,,,,,,,,,,,,,,
1606-43678,#N/A,8/1/19,RC1,B4,DA,DA-43678,1606,#N/A,11/10/19,,0.0967,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,
1605-43678,#N/A,8/1/19,RC1,A2,DA,DA-43678,1605,#N/A,11/10/19,,0.4325,,0,0,0,0,0,0,0,0,0,0,8,"1 isospora?, 1 nem F",photo 001 of isospora,0,0,0,0,,,,,,,,,,,,,,,,,,
1540-43672,#N/A,7/26/19,FH3,E2,DA,DA-43672,1540,#N/A,11/13/19,,0.04,,0,0,0,0,0,0,0,0,0,0,1,0,lots of pollen,0,0,0,0,,,,,,,,,,,,,,,,,,
1537-43671,#N/A,7/25/19,FH2,E3,DA,DA-43671,1537,#N/A,11/22/19,,0.2775,,0,0,0,0,0,0,0,0,0,0,1,1 ukn,photo 001 and 001a of ukn,0,0,0,0,,,,,,,,,,,,,,,,,,
1534-43671,#N/A,7/25/19,FH3,E3,DA,DA-43671,1534,#N/A,11/23/19,,0.2559,,0,0,0,0,0,0,0,0,0,0,7,,lots of pollen,0,0,0,0,,,,,,,,,,,,,,,,,,
950-43671,#N/A,7/25/19,FH3,A2,DA,DA-43671,950,#N/A,11/25/19,,0.0453,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,
943-43669,#N/A,7/23/19,HM2,E5,DA,DA-43669,943,#N/A,1/23/20,,0.123,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,
1301-43657,#N/A,7/11/19,NK1,B2,DA,DA-43657,1301,#N/A,1/27/20,,0.0718,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,
1515-43662,1515,7/16/19,RC2,C3,PM,PM-43662,1515,1515,8/12/19,,0.3803,,0,0,1,0,0,0,0,0,0,0,6,,,2.629503024,1,0,0,,0,0,0,0,2.629503024,1,2.629503024,1,0,0,0,0,0,0,0,15.77701814,1
1520-43683,#N/A,8/6/19,HM1,C2,DA,DA-43683,1520,#N/A,11/10/19,,0.3619,,0,0,1,0,0,0,0,0,0,0,0,0,,2.763194253,1,0,0,,,,,,,,,,,,,,,,,,
1598-43643,#N/A,6/27/19,NK1,E3,DA,DA-43643,1598,#N/A,2/8/20,1.849,0.361,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.770083102,1,0,0,,2.770083102,1,0,0,0,0,2.770083102,1,0,0,0,0,0,0,0,0,0
355-43655,#N/A,7/9/19,FH1,A3,DA,DA-43655,355,#N/A,2/21/20,2.0623,0.5743,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3.482500435,1,0,0,,1.741250218,1,1.741250218,1,0,0,3.482500435,1,0,0,0,0,0,0,0,0,0
1507-43656,#N/A,7/10/19,FH2,D1,DA,DA-43656,1507,#N/A,2/6/20,1.9749,0.4869,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4.107619634,1,0,0,,4.107619634,1,0,0,0,0,4.107619634,1,0,0,0,0,0,0,0,0,0
1620-43655,#N/A,7/9/19,FH1,B2,DA,DA-43655,1620,#N/A,2/10/20,1.7278,0.2398,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.170141785,1,0,0,,0,0,4.170141785,1,0,0,4.170141785,1,0,0,0,0,0,0,0,0,0
